dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,9.464229,16.701490,10.194705,2.288818,-2.244918,-2.199781,0.039213
0.050000,9.572748,16.705349,10.303292,2.171744,-2.341477,-1.931183,0.032004
0.050000,9.675226,16.708311,10.405813,2.050419,-2.426498,-1.700416,0.025912
0.050000,9.771467,16.710554,10.502080,1.925341,-2.501570,-1.501452,0.020790
0.050000,9.861298,16.712226,10.591927,1.796940,-2.568012,-1.328833,0.016509
0.050000,9.944569,16.713451,10.675207,1.665595,-2.626900,-1.177772,0.012955
0.050000,10.021146,16.714328,10.751789,1.531640,-2.679108,-1.044157,0.010025
0.050000,10.090912,16.714943,10.821557,1.395373,-2.725334,-0.924503,0.007631
0.050000,10.153764,16.715360,10.884411,1.257067,-2.766128,-0.815894,0.005691
0.050000,10.209612,16.715634,10.940259,1.116970,-2.801924,-0.715914,0.004138
0.050000,10.258378,16.715805,10.989025,0.975318,-2.833053,-0.622581,0.002909
0.050000,10.299994,16.715906,11.030642,0.832329,-2.859767,-0.534290,0.001953
0.050000,10.334405,16.715961,11.065052,0.688217,-2.882255,-0.449754,0.001227
0.050000,10.361564,16.715987,11.092212,0.543184,-2.900653,-0.367959,0.000694
0.050000,10.381435,16.715997,11.112083,0.397431,-2.915059,-0.288111,0.000326
0.050000,10.393993,16.716000,11.124641,0.251154,-2.925539,-0.209602,0.000104
0.050000,10.399220,16.716000,11.129868,0.104547,-2.932137,-0.131961,0.000013
0.050000,10.400000,16.716000,11.130648,0.015591,-1.779116,23.060413,0.000000
0.050000,10.400000,16.716000,11.130648,0.000000,-0.311828,29.345767,0.000000
